**** Planta:  156 TRES MARIAS 
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2029  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2030  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2031  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2032  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2033  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2034  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2035  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2036  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2037  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2038  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2039  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2040  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2041  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2042  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
**** Planta:   61 CAPIVARA    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2022 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2023 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2024 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2025 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2026 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2027 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2028 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2029 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2030 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2031 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2032 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2033 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2034 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2035 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2036 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2037 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2038 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2039 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2040 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2041 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
2042 9589.82 10008.8 10315.1   10540   10540   10540   10540   10540   10540   10540 10470.2 9723.76
