**** Planta:  156 TRES MARIAS 
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2035   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2036   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2037   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2038   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2039   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2040   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2041   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2042   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
**** Planta:  148 IRAPE       
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2022 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2023 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2024 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2025 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2026 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2027 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2028 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2029 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2030 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2031 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2032 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2033 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2034 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2035 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2036 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2037 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2038 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2039 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2040 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2041 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
2042 5623.15 5743.64  5843.8 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5463.12 5563.28
**** Planta:    1 CAMARGOS    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2022 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2023 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2024 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2025 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2026 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2027 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2028 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2029 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2030 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2031 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2032 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2033 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2034 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2035 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2036 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2037 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2038 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2039 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2040 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2041 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
2042 421.997 471.994 661.968     792     792     792     792     792     792     792 492.019 421.997
**** Planta:    6 FURNAS      
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2022 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2023 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2024 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2025 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2026 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2027 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2028 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2029 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2030 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2031 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2032 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2033 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2034 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2035 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2036 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2037 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2038 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2039 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2040 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2041 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
2042 22259.6 22443.8 22705.5   22950   22950   22950   22950   22950   22950   22950 22247.6 21837.8
**** Planta:    7 M. DE MORAES
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2022    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2023    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2024    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2025    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2026    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2027    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2028    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2029    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2030    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2031    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2032    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2033    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2034    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2035    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2036    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2037    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2038    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2039    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2040    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2041    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
2042    3540    3540    3767    4040    4040    4040    4040    4040    4040    4040    3540    3540
**** Planta:   14 CACONDE     
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2022 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2023 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2024 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2025 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2026 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2027 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2028 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2029 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2030 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2031 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
