$version=1
MOD: 01/08/2021
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
  52 CAMPINA GDE     1                    0 160.778       0       0       0               100                                                                        0                                           
  53 GLOBAL I        1                    0 132.551       0       0       0               100                                                                        0                                           
  57 MARACANAU I     1                    0 149.604       0       0       0               100                                                                        0                                           
 224 P. SERGIPE I    1                    0 1271.17       0       0       0               100                                                                        0                                           
 151 POTIGUAR        1                    0 51.6698       0       0       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0 52.5888       0       0       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0 27.9976       0       0       0               100                                                                        0                                           
 170 SUAPE II        1                    0 380.536       0       0       0               100                                                                        0                                           
  58 TERMOCEARA      1                    0 200.009       0       0       0               100                                                                        0                                           
  67 TERMONE         1                    0     162       0       0       0               100                                                                        0                                           
  69 TERMOPB         1                    0     162       0       0       0               100                                                                        0                                           
MOD: 01/01/2022
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 109 ALTOS           1                    0       0   91.77 93.4572       0               100                                                                        0                                           
 111 ARACATI         1                    0       0   93.15 94.8303       0               100                                                                        0                                           
 112 BAHIA I         1                    0 30.3506   13.97 16.6455       0               100                                                                        0                                           
 113 BATURITE        1                    0       0   91.03 93.2465       0               100                                                                        0                                           
 235 CAMACARI MII    1                    0       0       3    3.97       0               100                                                                        0                                           
 166 CAMACARI PI     1                    0     150   41.55 42.8827       0               100                                                                        0                                           
  52 CAMPINA GDE     1                    0  169.08   44.58 57.4652       0               100                                                                        0                                           
 117 CAMPO MAIOR     1                    0       0   91.91 93.9463       0               100                                                                        0                                           
 119 CAUCAIA         1                    0       0   92.46 94.4664       0               100                                                                        0                                           
 121 CRATO           1                    0       0   91.15 93.2076       0               100                                                                        0                                           
 125 ENGUIA PECEM    1                    0       0   89.35 91.4289       0               100                                                                        0                                           
 106 ERB CANDEIAS    1                    0 12.8998       3       3       0               100                                                                        0                                           
  42 FORTALEZA       1                  223   326.6    1.86 5.77579       0               100                                                                        0                                           
  53 GLOBAL I        1                    0   148.8   15.95 41.2575       0               100                                                                        0                                           
  55 GLOBAL II       1                    0   148.8   17.59   17.59       0               100                                                                        0                                           
 127 IGUATU          1                    0       0   89.93 92.4163       0               100                                                                        0                                           
 133 JUAZEIRO N      1                    0       0   87.83  90.763       0               100                                                                        0                                           
  57 MARACANAU I     1                    0  164.69   45.71 53.4572       0               100                                                                        0                                           
 135 MARAMBAIA       1                    0       0   91.52 93.6358       0               100                                                                        0                                           
 164 MURICY          1                    0  147.16   18.57 22.8777       0               100                                                                        0                                           
 138 NAZARIA         1                    0       0   91.32 93.3537       0               100                                                                        0                                           
 167 P. PECEM I      1                    0  720.28    4.85    4.85       0               100                                                                        0                                           
 163 P. PECEM II     1                    0     365    2.47 9.22883       0               100                                                                        0                                           
 224 P. SERGIPE I    1                    0 1515.64    3.16 5.15491       0               100                                                                        0                                           
 160 PAU FERRO I     1                    0   94.08     2.6 9.89527       0               100                                                                        0                                           
 162 PECEM II        1                    0       0       3    3.97       0               100                                                                        0                                           
  98 PERNAMBU_III    1                    0  200.79   75.05 78.5779       0               100                                                                        0                                           
 144 PETROLINA       1                    0 132.005    5.31    5.31       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85    5.85       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35    3.35       0               100                                                                        0                                           
 223 PROSPERI III    1                    0       0     0.5  4.9775       0               100                                                                        0                                           
 241 PROSPERID II    1                    0       0       2  6.1258       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86 4.89831       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.57493       0               100                                                                        0                                           
 221 SYKUE I         1                    0       0     1.5 4.45499       0               100                                                                        0                                           
  43 TERMOBAHIA      1                    0 158.945    5.44  16.286       0               100                                                                        0                                           
 152 TERMOCABO       1                    0   49.73    4.89 16.3413       0               100                                                                        0                                           
  58 TERMOCEARA      1                    0     223   28.83 39.6265       0               100                                                                        0                                           
 159 TERMOMANAUS     1                    0  143.04   10.79 19.0241       0               100                                                                        0                                           
  67 TERMONE         1                    0 162.308    2.22 3.17825       0               100                                                                        0                                           
  69 TERMOPB         1                    0 162.308    1.81 2.78208       0               100                                                                        0                                           
  96 TERMOPE         1                348.8  532.76    2.67    2.67       0               100                                                                        0                                           
  83 VALE DO ACU     1                    0  310.14    2.57 22.5431       0               100                                                                        0                                           
MOD: 01/02/2022
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
  53 GLOBAL I        1                    0   148.8   15.95   15.95       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85 9.21116       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35 6.80041       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86    3.86       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.42062       0               100                                                                        0                                           
MOD: 01/03/2022
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 106 ERB CANDEIAS    1                    0 12.8998       3 18.6461       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85    5.85       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35    3.35       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.91985       0               100                                                                        0                                           
MOD: 01/04/2022
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 106 ERB CANDEIAS    1                    0 12.8998       3       3       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85 8.98519       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35 6.56844       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.41154       0               100                                                                        0                                           
  96 TERMOPE         1               345.71  532.76    2.67 35.1101       0               100                                                                        0                                           
MOD: 01/05/2022
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
  55 GLOBAL II       1                    0   148.8   17.59 21.8424       0               100                                                                        0                                           
 167 P. PECEM I      1                    0  720.28    4.85 23.2615       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85    5.85       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35    3.35       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86  10.061       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23    9.23       0               100                                                                        0                                           
  96 TERMOPE         1                348.8  532.76    2.67 15.2256       0               100                                                                        0                                           
MOD: 01/06/2022
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
  53 GLOBAL I        1                    0   148.8   15.95  24.355       0               100                                                                        0                                           
  55 GLOBAL II       1                    0   148.8   17.59 21.9825       0               100                                                                        0                                           
 167 P. PECEM I      1                    0  720.28    4.85    4.85       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85 8.98519       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35 6.56844       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86 10.2725       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23   9.584       0               100                                                                        0                                           
  96 TERMOPE         1                348.8  532.76    2.67    2.67       0               100                                                                        0                                           
MOD: 01/07/2022
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
  53 GLOBAL I        1                    0   148.8   15.95  24.086       0               100                                                                        0                                           
  55 GLOBAL II       1                    0   148.8   17.59   17.59       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85    5.85       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35    3.35       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86    3.86       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23    9.23       0               100                                                                        0                                           
MOD: 01/08/2022
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
  53 GLOBAL I        1                    0   148.8   15.95   15.95       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85 8.89105       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35  6.4718       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86  10.061       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.40247       0               100                                                                        0                                           
MOD: 01/09/2022
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 106 ERB CANDEIAS    1                    0 12.8998       3     100       0               100                                                                        0                                           
