**** Planta:   48                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:  169                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:   28                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1    4.65   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81
2022   2    4.65   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81
2022   3    4.65   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81
2023   1    4.65   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81
2023   2    4.65   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81
2023   3    4.65   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81
2024   1    4.65   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81
2024   2    4.65   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81
2024   3    4.65   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81
2025   1    4.65   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81
2025   2    4.65   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81
2025   3    4.65   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81   12.81
**** Planta:   26                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                              57      57      57      57      57
2021   2                                                              57      57      57      57      57
2021   3                                                              57      57      57      57      57
2022   1      30       0       0       0       0      25      25      25      25      25       0       0
2022   2      30       0       0       0       0      25      25      25      25      25       0       0
2022   3      30       0       0       0       0      25      25      25      25      25       0       0
2023   1      30       0       0       0       0      25      25      25      25      25       0       0
2023   2      30       0       0       0       0      25      25      25      25      25       0       0
2023   3      30       0       0       0       0      25      25      25      25      25       0       0
2024   1      30       0       0       0       0      25      25      25      25      25       0       0
2024   2      30       0       0       0       0      25      25      25      25      25       0       0
2024   3      30       0       0       0       0      25      25      25      25      25       0       0
2025   1      30       0       0       0       0      25      25      25      25      25       0       0
2025   2      30       0       0       0       0      25      25      25      25      25       0       0
2025   3      30       0       0       0       0      25      25      25      25      25       0       0
**** Planta:   27                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                              66      66      33      33      66
2021   2                                                              66      66      33      33      66
2021   3                                                              66      66      33      33      66
2022   1      66       0       0      66      66      66      66      66      66      66       0       0
2022   2      66       0       0      66      66      66      66      66      66      66       0       0
2022   3      66       0       0      66      66      66      66      66      66      66       0       0
2023   1      66       0       0      66      66      66      66      66      66      66       0       0
2023   2      66       0       0      66      66      66      66      66      66      66       0       0
2023   3      66       0       0      66      66      66      66      66      66      66       0       0
2024   1      66       0       0      66      66      66      66      66      66      66       0       0
2024   2      66       0       0      66      66      66      66      66      66      66       0       0
2024   3      66       0       0      66      66      66      66      66      66      66       0       0
2025   1      66       0       0      66      66      66      66      66      66      66       0       0
2025   2      66       0       0      66      66      66      66      66      66      66       0       0
2025   3      66       0       0      66      66      66      66      66      66      66       0       0
**** Planta:   25                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                             220     220     220     220     220
2021   2                                                             220     220     220     220     220
2021   3                                                             220     220     220     220     220
2022   1  175.88       0       0  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88
2022   2  175.88       0       0  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88
