 NUM,...Nombre...,.PV.,.VAA,.TAA,#Uni,Tipo,....Pot,.FPMed.,.QMin..,.QMax..,.VMin..,.VMax..,.VInic.,Min.V+T,..VNC..,..ICP..,...IH..,..FP1..,..Vol1.,..FP2..,..Vol2.,..FP3..,..Vol3.,..FP4..,..Vol4.,..FP5..,..Vol5.,.Area1.,..Vol1.,.Area2.,..Vol2.,.Area3.,..Vol3.,.Area4.,..Vol4.,.Area5.,..Vol5.,.Filt1.,..Vol1.,.Filt2.,..Vol2.,.Filt3.,..Vol3.,.Filt4.,..Vol4.,.Filt5.,..Vol5.,.Cota1.,.Vol1..,.Cota2.,.Vol2..,.Cota3.,.Vol3..,.Cota4.,.Vol4..,.Cota5.,.Vol5..,.Ev1,.Ev2,.Ev3,.Ev4,.Ev5,.Ev6,.Ev7,.Ev8,.Ev9,Ev10,Ev11,Ev12,tini,tfil,.faa,tare,.varea.,tfil,.vfiltr,F.Reg..,pVar,.ICV,C.Vert.,sfal,Cos.O&M,Irxh,RendT&G,.EA.,Niv.Jus,I,JuAr,I,.TurIn1,.TotIn1,.TurIn2,.TotIn2,.TurIn3,.TotIn3,.TurIn4,.TotIn4,.TurIn5,.TotIn5,H,V,.CFuga1,..Def1.,.CFuga2,..Def2.,.CFuga3,..Def3.,.CFuga4,..Def4.,.CFuga5,..Def5.,E,PHidTur,PHidVer
27,CAPIM BRANC1,207,28,28,3,1,240,0.497,0,495,228.27,241.13,0.272,72,0,0.657,2.6975,0.49363,228.27,0.49527,231.356,0.49722,235.086,0.499,238.558,0.50029,241.13,30.75,228.27,30.9557,228.913,31.1225,232.128,31.25,240.487,31.25,241.13,0,0,0,0,0,0,0,0,0,0,621.541,228.27,621.726,231.356,621.947,235.086,622.148,238.558,622.294,241.13,2,0,18,38,51,51,48,46,45,18,6,25,0,0,28,1,31,0,0,0,1,0,0,0,0,0,0.9,,565.63,0,28,0,0,0,0,0,0,0,0,0,0,0,,0,564.637,0,565.874,241.313,566.921,482.625,567.416,612.563,567.867,742.5,0,0,0
28,CAPIM BRANC2,28,31,31,3,1,210,0.418009,0,537,878,879,0,72,0,2.166,3.87907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,40,55,56,53,49,50,19,4,23,0,0,31,1,54.875,0,0,0,0,0,0,0,0,-1,0.92844,,518.54,0,31,0,0,0,0,0,0,0,0,0,0,0,,1,517.514,72,519.678,783.262,521.07,1494.53,521.705,1877.51,522.198,2260.5,0,0,0
29,CORUMBA IV,205,203,203,2,1,127,0.614947,0,208,2936.6,3708,0.7922,18,0,0.891,2.48368,0.58935,2936.6,0.59756,3060.02,0.62264,3438.01,0.63336,3600,0.64045,3708,137.172,2936.6,139.108,2982.88,142.012,3052.31,144.27,3106.31,169.438,3708,0,0,0,0,0,0,0,0,0,0,835.8,2936.6,836.7,3060.02,839.45,3438.01,840.624,3600,841.402,3708,19,8,19,32,56,64,73,84,86,53,13,44,0,0,203,1,152.688,0,0,0,1,0,0,0,0,0,0.92997,,771.2,0,203,0,0,0,0,0,0,0,0,0,0,0,,1,769.649,18,772.901,291.488,775.07,564.975,775.916,712.238,776.598,859.5,0,0,0
30,CORUMBA I,209,31,31,3,1,375,0.588463,0,570,470,1500,0.8014,120,0,0.918,6.8114,0.46085,470,0.51408,634.8,0.56946,851.1,0.62468,1129.2,0.68317,1500,23.2539,470,35.9466,779,38.9045,851.1,41.7442,923.2,64.3906,1500,0,0,0,0,0,0,0,0,0,0,569.213,470,575.234,634.8,581.498,851.1,587.745,1129.2,594.362,1500,2,1,17,37,53,56,58,54,55,21,8,21,0,0,31,1,44.2344,0,0,0,1,0,0,0,0,0,0.90112,,517.08,0,31,0,0,0,0,0,0,0,0,0,0,0,,1,512.775,120,518.543,1034.06,520.512,1948.13,524.946,2440.31,534.576,2932.5,0,0,0
31,ITUMBIARA,31,32,32,6,1,2082,0.664083,0,2940,4573,17027,0.1176,70,0,1.735,6.71998,0.53254,4573,0.59053,6565.64,0.65009,9430.06,0.71497,13539.9,0.75789,17027,272.75,4573,302.407,5195.7,330.927,5818.4,357.661,6441.1,796.875,17027,0,0,0,0,0,0,0,0,0,0,494.24,4573,500.672,6565.64,507.28,9430.06,514.478,13539.9,519.24,17027,6,1,19,42,58,62,60,56,58,22,5,23,0,0,32,1,537.313,0,0,0,1,0,0,0,0,0,0.91886,,435.16,0,32,0,0,0,0,0,0,0,0,0,0,0,,1,433.111,70,437.477,3288.64,440.796,6507.28,442.373,8240.39,443.93,9973.5,0,0,0
32,CACH.DOURADA,32,33,33,10,1,658,0.265705,0,2513,460,460,0,20,0,1.455,4.53354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,24,44,59,63,61,62,65,27,11,30,0,0,33,1,69,0,0,0,0,0,0,0,0,-1,0.87013,,399.02,0,33,0,0,0,0,0,0,0,0,0,0,0,,1,398.618,20,403.678,3474.75,408.039,6929.5,412.084,8789.75,418.456,10650,0,0,0
33,SAO SIMAO,33,34,34,6,1,1710,0.618722,0,2670,7000,12540,0.2141,450,0,2.336,8.17924,0.56831,7000,0.58847,7997.2,0.61534,9493,0.64373,11210.4,0.66397,12540,407.578,7000,428.191,7443.2,451.38,7941.8,515.794,9326.8,665.234,12540,0,0,0,0,0,0,0,0,0,0,389.585,7000,391.8,7997.2,394.753,9493,397.872,11210.4,400.095,12540,13,11,25,46,67,72,68,66,64,22,4,25,0,0,34,1,533.641,0,0,0,1,0,0,0,0,0,0.92773,,327.14,0,34,0,0,0,0,0,0,0,0,0,0,0,,0,323.46,0,324.054,1301.63,324.765,2603.25,325.188,3304.13,325.635,4005,0,0,0
34,I. SOLTEIRA,34,45,45,20,1,3444,0.378858,0,9399,15563.6,21060,0.4093,1450,0,1.002,5.55591,0.35659,15563.6,0.3659,16662.9,0.37789,18146.9,0.39021,19740.9,0.39997,21060,1000.06,15563.6,1048.42,16772.8,1107.41,18366.8,1161.94,19960.7,1196.44,21060,0,0,0,0,0,0,0,0,0,0,322.44,15563.6,323.516,16662.9,324.901,18146.9,326.325,19740.9,327.452,21060,16,25,38,57,78,74,65,63,59,18,5,26,0,0,45,1,1105.19,0,0,0,1,0,0,0,0,0,0.88226,,281.24,0,45,0,0,0,0,0,0,0,0,0,0,0,,1,280.096,1450,282.374,10881.8,283.526,20313.7,284.922,25392.3,289.494,30471,0,0,0
37,BARRA BONITA,37,38,38,4,1,140,0.160966,0,756,569,3135,0.531,91,0,0.118,5.11909,0.09971,569,0.11828,825.6,0.1366,1159.18,0.15497,1595.4,0.20744,3135,123.875,569,148.837,774.28,175.965,1056.54,197.997,1338.8,311.813,3135,0,0,0,0,0,0,0,0,0,0,439.054,569,441.15,825.6,443.217,1159.18,445.291,1595.4,451.213,3135,23,17,38,64,73,64,50,43,42,19,1,30,0,0,38,1,231.063,0,0,0,1,0,0,0,0,0,0.90316,,427.8,0,38,0,0,0,0,0,0,0,0,0,0,0,,1,427.492,91,429.06,1193.89,430.881,2296.78,431.632,2890.64,433.072,3484.5,0,0,0
38,A.S. LIMA,38,39,39,3,1,144,0.187307,0,771,544,544,0,103,0,0.293,4.42386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,38,64,74,67,53,47,46,21,2,30,0,0,39,1,62.55,0,0,0,0,0,0,0,0,-1,0.86004,,404.69,0,39,0,0,0,0,0,0,0,0,0,0,0,,1,404.012,103,405.824,1344.34,406.963,2585.68,407.592,3254.09,409.47,3922.5,0,0,0
39,IBITINGA,39,40,40,3,1,131.4,0.176263,0,702,985,985,0,128,0,0.239,7.88169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,37,63,75,69,55,50,49,23,3,31,0,0,40,1,114.82,0,0,0,0,0,0,0,0,-1,0.87085,,382.88,0,40,0,0,0,0,0,0,0,0,0,0,0,,1,379.64,128,382.317,1456.76,383.706,2785.53,384.607,3501.01,386.69,4216.5,0,0,0
40,PROMISSAO,40,42,42,3,1,264,0.207142,0,1293,5280,7408,0.464,160,0,0.076,4.23085,0.18798,5280,0.19202,5492.8,0.19635,5726.88,0.20133,6003.52,0.22578,7408,459.16,5280,470.231,5577.92,484.364,5982.24,499.123,6429.12,530.109,7408,0,0,0,0,0,0,0,0,0,0,379.39,5280,379.85,5492.8,380.343,5726.88,380.91,6003.52,383.692,7408,16,18,37,62,77,72,59,55,53,22,4,30,0,0,42,1,496.305,0,0,0,1,0,0,0,0,0,0.89582,,358,0,42,0,0,0,0,0,0,0,0,0,0,0,,1,357.979,160,358.639,1652.89,359.741,3145.78,360.156,3949.64,360.388,4753.5,0,0,0
