& Caso de Calculo de Garantia Fisica para Desestatizacao da Eletrobras
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
& Cadastro das familias de curvas de jusante
&
& Usina: codigo da usina hidraulica
& Indice: indice da familia (sequencial)
& HjusRef: nivel de montante da usina de jusante para referencia da familia
& nPol: quantidade de polinomios da familia
&
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&         Usina    Indice   HjusRef    nPol
&XXXXXXX   XXXX     XXX    XXXXXXXXXX  XXX
CURVAJUS   0286     001         0.000  001
CURVAJUS   0287     001         0.000  001
CURVAJUS   0288     001         0.000  001
CURVAJUS   0290     001         0.000  001
CURVAJUS   0291     001         0.000  001
CURVAJUS   0292     001         0.000  001
CURVAJUS   0294     001         0.000  001
CURVAJUS   0295     001         0.000  001
CURVAJUS   0298     001         0.000  001
CURVAJUS   0302     001         0.000  001
CURVAJUS   0303     001         0.000  001
CURVAJUS   0304     001         0.000  001
CURVAJUS   0305     001         0.000  001
CURVAJUS   0306     001         0.000  001
CURVAJUS   0308     001         0.000  001
CURVAJUS   0310     001         0.000  001
CURVAJUS   0311     001         0.000  001
CURVAJUS   0312     001         0.000  001
CURVAJUS   0314     001         0.000  001
CURVAJUS   0315     001         0.000  001
CURVAJUS   0318     001         0.000  001
CURVAJUS   0319     001         0.000  001
CURVAJUS   0361     001         0.000  001
CURVAJUS   0392     001         0.000  001
CURVAJUS   0528     001         0.000  001
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&
& Cadastro dos coeficientes dos polinomios por partes das curvas de jusante
&
& Usina: codigo da usina hidraulica
& indice: indice da familia (sequencial)
& QjusMin: Limite inferior de vazao de jusante (defluencia mais lateral) para janela de validade do polinomio
& QjusMax: Limite superior de vazao de jusante (defluencia mais lateral) para janela de validade do polinomio
& a0 : coeficiente de grau 0 do polinomio
& a1 : coeficiente de grau 1 do polinomio
& a2 : coeficiente de grau 2 do polinomio
& a3 : coeficiente de grau 3 do polinomio
& a4 : coeficiente de grau 4 do polinomio
&
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&          Usina    Indice      QjusMin               QjusMax                  a0                  a1                    a2                   a3                   a4
&XXXXX     XXXX     XXX     XXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXX
PPPJUS     0074     001     0000000000000000.0D0 0000000000001769.3D0 0.60049106158958D+03 0.71984336877172D-02 -.17141673474477D-05 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0074     001     0000000000001769.3D0 0000000000003646.0D0 0.60819841418620D+03 -.65960631646008D-03 0.26506683146578D-06 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0074     001     0000000000003646.0D0 0000000000013369.0D0 0.60310065609053D+03 0.23096632042751D-02 -.21962496953987D-06 0.16496673336317D-10 -.47868026163509D-15
PPPJUS     0074     002     0000000000000000.0D0 0000000000001183.6D0 0.60550000000000D+03 0.43940292348325D-04 -.35096904899409D-06 0.93443607874000D-09 0.00000000000000D+01
PPPJUS     0074     002     0000000000001183.6D0 0000000000001769.3D0 0.60049106158958D+03 0.71984336877172D-02 -.17141673474477D-05 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0074     002     0000000000001769.3D0 0000000000003646.0D0 0.60819841418620D+03 -.65960631646008D-03 0.26506683146578D-06 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0074     002     0000000000003646.0D0 0000000000013369.0D0 0.60310065609053D+03 0.23096632042751D-02 -.21962496953987D-06 0.16496673336317D-10 -.47868026163509D-15
PPPJUS     0074     003     0000000000000000.0D0 0000000000001394.9D0 0.60600000000000D+03 0.42394038360721D-03 -.15482219427751D-05 0.20881753523483D-08 -.54138545793884D-12
PPPJUS     0074     003     0000000000001394.9D0 0000000000001769.3D0 0.60049106158958D+03 0.71984336877172D-02 -.17141673474477D-05 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0074     003     0000000000001769.3D0 0000000000003646.0D0 0.60819841418620D+03 -.65960631646008D-03 0.26506683146578D-06 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0074     003     0000000000003646.0D0 0000000000013369.0D0 0.60310065609053D+03 0.23096632042751D-02 -.21962496953987D-06 0.16496673336317D-10 -.47868026163509D-15
PPPJUS     0074     004     0000000000000000.0D0 0000000000001504.1D0 0.60650000000000D+03 0.25419574884529D-03 -.82531494938000D-06 0.96295533911916D-09 -.16640483418490D-12
PPPJUS     0074     004     0000000000001504.1D0 0000000000001769.3D0 0.60049106158958D+03 0.71984336877172D-02 -.17141673474477D-05 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0074     004     0000000000001769.3D0 0000000000003646.0D0 0.60819841418620D+03 -.65960631646008D-03 0.26506683146578D-06 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0074     004     0000000000003646.0D0 0000000000013369.0D0 0.60310065609053D+03 0.23096632042751D-02 -.21962496953987D-06 0.16496673336317D-10 -.47868026163509D-15
PPPJUS     0074     005     0000000000000000.0D0 0000000000001732.6D0 0.60700000000000D+03 0.28505545499365D-03 -.80992137288479D-06 0.85933237112745D-09 -.19028616060224D-12
PPPJUS     0074     005     0000000000001732.6D0 0000000000001769.3D0 0.60049106158958D+03 0.71984336877172D-02 -.17141673474477D-05 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0074     005     0000000000001769.3D0 0000000000003646.0D0 0.60819841418620D+03 -.65960631646008D-03 0.26506683146578D-06 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0074     005     0000000000003646.0D0 0000000000013369.0D0 0.60310065609053D+03 0.23096632042751D-02 -.21962496953987D-06 0.16496673336317D-10 -.47868026163509D-15
&
PPPJUS     0006     001                   0.0000            1797.5170           669.244800         6.145729D-03        -3.537265D-06         7.606573D-10         0.000000D+00
PPPJUS     0006     001                1797.5170            4190.0580           656.804500         2.221459D-02        -1.081651D-05         2.295480D-09        -1.760690D-13
PPPJUS     0006     001                4190.0580           11245.4900           666.068400         4.200732D-03        -7.427045D-07         6.146186D-11        -1.866856D-15
PPPJUS     0007     001                   0.0000            4332.0090           617.746700         2.570832D-03        -1.632490D-07         0.000000D+00         0.000000D+00
